Internal Q,Qi_no_corr,absQc,Coupling Q,Loaded Q,Resonant Frequency,theta0,phi0,phi0_err,Ql_err,absQc_err,fr_err,chi_square,Qi_no_corr_err,Qi_dia_corr_err,delay,photons,power
2559783.089703231,3159293.8770319778,5126026.2603878,8267796.432651344,1954616.4914988603,5447951148.309544,-2.2395378695323256,0.9020547840574676,0.019500372765497445,51615.15656555045,69742.59806450452,32.283607774168566,0.00016608058197790454,124229.45575285352,85012.1307384109,4.485964447911913e-08,841.1840449494641,-17.5
3869354.4344702056,5331350.255984148,5403900.536192755,8758084.530049386,2683690.1218869416,5447950394.0060425,-2.2357447442227647,0.9058479093670287,0.026681358235871498,100601.14444170734,45291.662179430816,28.97337162336998,7.483166402834078e-05,393883.03085317434,210388.95279744302,5.484472475358956e-08,26620.328307572574,-5.0
3860551.8991783126,5385983.423653521,5221026.032363101,8462382.797833936,2651111.020629895,5447950290.025765,-2.2357318787957574,0.9059111340232949,0.013538331558186867,35809.987500511736,26546.792053676385,15.001038800504153,4.025168603884754e-05,140663.84056665987,76704.6935844367,5.480005978979745e-08,47810.24667772788,-2.5
3932477.1073060012,5509705.09008007,5176140.251094583,8305687.803875618,2668858.2304794216,5447950297.22568,-2.2436296193115624,0.8979630342782305,0.008811469945866466,22967.95096709363,19101.3720285701,9.079198028908694,1.4790811637918532e-05,87151.80643885664,42239.88509087489,5.4888127076919385e-08,87787.61022481692,0.0
3927343.590578412,5526714.236644507,5084415.725200284,8130495.583014797,2648173.462630769,5447950212.937421,-2.245300000755649,0.8952147291279177,0.0053543959777855085,22950.573991193854,12479.074900822698,6.464336947818744,9.890054325907639e-06,99759.19115709972,49166.40869244796,5.82592790622413e-08,157012.29933844495,2.5
4020310.1469176337,5668774.540407524,5127211.490359618,8149578.583379841,2692204.850673581,5447950288.649689,-2.251240366968606,0.8903522866211877,0.002297793949957811,6576.337510835315,6850.563329846,2.8259650600011765,2.784114152135251e-06,26306.70440077022,13796.4138408004,6.109526805719632e-08,287898.15011658525,5.0
4132152.7278262903,5852337.315363983,5221191.540039872,8306030.35546,2759389.0330205574,5447950293.085015,-2.2505513414875624,0.8910413121022304,0.006457954051239783,28359.181768123206,11688.736864947063,6.583194248936477,8.185925258358526e-06,124784.1068282568,69055.25944788846,5.645674373527989e-08,527703.7428198265,7.5
4147900.4035151294,5878478.560221456,5195507.881501469,8230440.4290796975,2757966.325098391,5447950258.904057,-2.2539668177256793,0.8876258358641134,0.004049634738066847,7535.7737322752155,6384.093223491816,4.197379286522739,2.545475845210977e-06,31680.005274946554,19085.024702639457,5.878640612436748e-08,946046.9032634042,10.0
4182209.6604937557,5938923.540030537,5218865.146969133,8272313.264504233,2777830.0829171124,5447950277.786373,-2.2534875980960045,0.8881050554937889,0.0026665303790328397,14240.911728491548,6703.123828914308,2.803346545541973,2.538816854536868e-06,65130.832187320935,30194.269055941037,5.9306105383668244e-08,1698017.6666221619,12.5
4173238.242156189,5937337.304589898,5201629.684817678,8260978.439057423,2772593.7245077286,5447950269.916274,-2.251915235653696,0.8896774179360967,0.0025999411718608118,12594.634197073807,5250.995646877963,2.6677021515022465,1.7694284333757142e-06,55794.993820878946,29951.086872623164,5.795093293049095e-08,3012304.062741048,15.0
219765.5068444099,220865.9933085279,2340409.650576463,2471556.782101481,201820.09830045703,5447959509.449362,-2.8144721132231676,0.32722649282954575,0.06682172872115041,19566.09235009499,179474.42449707855,1215.8026098287455,0.001313992549055986,22108.27072845148,21966.049030999813,1.1139791614664952e-07,0.09486687297917458,-42.5
2284181.113302801,2376922.2722418937,14484993.719775913,19247268.035385326,2041861.9213924357,5447953933.798286,-2.4227585795937103,0.7188340739960827,0.1268424957333771,353219.3836116076,1706394.3821295497,200.72996171897478,0.001134138030237341,447638.6401765699,432771.3218661798,8.501033451675337e-08,22.1738388052477,-30.0
