Qi_dia_corr,Qi_no_corr,absQc,Qc_dia_corr,Ql,fr,theta0,phi0,phi0_err,Ql_err,absQc_err,fr_err,chi_square,Qi_no_corr_err,Qi_dia_corr_err,A,alpha,delay,photons
688870.7081109199,923306.530521993,1264349.196645745,2367797.2695788583,533622.2951472397,5105456222.553733,-2.1340936377969095,1.0074990219100475,0.03387269511350646,27931.16986485813,45838.710592851174,223.42431517263458,0.0012917248587348683,70842.71053154279,44751.594663540585,0.016924577858469514,-2.967538815197259,5.89936146136064e-08,7.8827616989167675
895196.4795692381,1332008.5938188375,1323068.296518631,2567449.569312199,663761.6965390663,5105455723.426331,-2.112181959328913,1.0294106942608803,0.025116299939833886,28894.152864988813,41642.9179233624,138.06544324236216,0.0009184017163461305,85383.74325632346,46587.04276481153,0.016924577858469514,-2.9695049270295097,5.89936146136064e-08,20.002188587614313
1211702.3962304476,2468624.871506839,1247449.5186210298,2621683.3818349694,828693.0196548471,5105454868.563022,-2.066701742225066,1.0749001700609733,0.017300459707936828,24184.599282023046,26349.240320705478,77.50204590214106,0.0005826631111971005,151021.0570427021,47653.159971031266,0.016924577858469514,-2.971406489006986,5.89936146136064e-08,54.2953117099576
1594333.9047744907,4659635.001999951,1260529.27148288,2626702.5775956116,992135.6981183371,5105455590.772213,-2.0713279212905693,1.0702665777177565,0.015041139450152374,27160.99771711633,19680.502925897857,50.71462663864719,0.0004669841665059288,462982.0293414577,63271.87036202974,0.016924577858469514,-2.9724389961457085,5.89936146136064e-08,138.12946830640087
2296836.780880403,-93226708.83691312,1178674.5477678264,2485690.6079500704,1193767.46854864,5105455773.255916,-2.0648297562218474,1.0767594274781618,0.015316847677825476,35549.857413849975,15746.77201334651,40.35503752803733,0.0003643831769132969,190311713.97891697,123899.33983876642,0.016924577858469514,-2.9716229450532583,5.89936146136064e-08,668.2630750730833
2914910.304964401,-11925767.411254333,1237395.7988247552,2623067.2251031213,1380649.4597630193,5105454592.411232,-2.0619394428271427,1.0795375072396078,0.014111670707112663,23607.53269340368,12975.521400590715,32.921698991510276,0.000281857448495029,1690769.7829914195,129422.12755232729,0.016924577858469514,-2.969457988278969,5.89936146136064e-08,1506.3042144680426
3125793.4513077135,-8389569.454533422,1185358.9056095642,2472114.884783859,1380394.256890044,5105455135.303288,-2.070871874157266,1.0707207794325266,0.008680867702611858,13424.21584467409,8756.597552524721,21.24918071404831,0.00017153028205510787,404557.0976984155,86079.10922887483,0.016924577858469514,-2.96861365498448,5.89936146136064e-08,2841.1411034760145
3598391.7979691876,-6833382.035257087,1239617.839800077,2614666.940922802,1514325.9495910844,5105454667.495775,-2.064747423527351,1.0768529137692404,0.01102485444614948,27661.24644887815,9749.511327774831,26.24373431613603,0.00020167328155668306,540068.1579233982,190799.94326437614,0.016924577858469514,-2.9678310525371905,5.89936146136064e-08,5748.805270767004
3730436.77087265,-5624783.805711682,1181353.1643881258,2496023.9421543307,1495433.750237922,5105454635.256746,-2.06382270691058,1.0777699466792128,0.005118856919083884,18115.612029429365,5325.7681093508845,9.650052137178683,7.006351036622458e-05,200814.94371868164,126056.6091832364,0.016924577858469514,-2.96966211000529,5.89936146136064e-08,10443.374675478659
4188148.412050199,-5064335.999483471,1201199.8579346235,2523514.864851477,1574699.7931773057,5105454785.453978,-2.0669001455272005,1.0746925080625926,0.004603907447260864,11969.5069630504,4448.546497899809,9.396041971553418,5.6010228162457414e-05,103554.18717858757,90174.21305993322,0.016924577858469514,-2.9700634163339856,5.89936146136064e-08,20367.8364195745
4389012.019866479,-4857921.734195506,1206992.6718777942,2532835.7349060266,1606022.9693993407,5105454976.580319,-2.0675090283049284,1.0740836252848647,0.013748577063900364,30884.1876625512,6909.175464280259,24.115926217136153,0.00016984368399395263,306769.78924250504,248522.42768307118,0.016924577858469514,-2.971604566399302,5.89936146136064e-08,37536.31819453758
4580189.254712845,-4660747.219538885,1209182.720992341,2537327.831574449,1632794.3479406834,5105455117.925168,-2.067531171249964,1.0740614823398291,0.006197187138462458,28003.143997753883,3653.8452264280186,11.09902927636191,4.9290337939212323e-05,228262.15613882185,216287.2419057176,0.016924577858469514,-2.9708844303679203,5.89936146136064e-08,68871.8203135437
4827359.876385495,-4526110.508032197,1220160.1897517934,2554463.081864261,1670496.9296667264,5105455295.735813,-2.068783539083703,1.0728091145060903,0.011205627920521093,39164.51318814143,4756.023081027009,17.63478180302067,8.122752873635154e-05,282126.02557513467,425462.20695921406,0.016924577858469514,-2.9705770429835114,5.89936146136064e-08,127334.72977806744
4898722.912981208,-4385789.994676684,1207311.0044427956,2524340.5614947556,1665895.083786172,5105455445.18643,-2.0694776545034026,1.0721149990863905,0.006336908682219777,11769.579388503795,2865.629465219846,9.767876145632052,2.69698969178075e-05,67475.44812289662,166506.1509129234,0.016924577858469514,-2.96991646587287,5.89936146136064e-08,227878.0319121437
4994064.999751491,-4330237.64458548,1209423.271381314,2527368.287929794,1678116.5271922667,5105455464.710095,-2.0697769272067514,1.0718157263830421,0.009342276351622913,17689.30528909864,2657.0468657942906,13.261774157344545,2.668495901758027e-05,103794.24961013086,255951.6039308466,0.016924577858469514,-2.9699377451891533,5.89936146136064e-08,410705.772172157
5067251.908505308,-4291336.499072055,1212998.0257943177,2537875.3275658973,1690971.5246000679,5105455562.384413,-2.069124932034166,1.0724677215556273,0.009887327702304221,40196.167121941144,2408.704413997833,15.799402835436345,1.9770532347170068e-05,251985.02196981412,365918.1097099242,0.016924577858469514,-2.9696591741918565,5.89936146136064e-08,738511.7295815275
5081313.7826880785,-4212287.738719051,1202661.6989223887,2517060.395160835,1683251.3612023606,5105455598.356341,-2.068949602618588,1.072643050971205,0.005918134006366674,19528.420389483905,1625.5442923771964,8.831827911642629,1.1432608404294782e-05,116111.46449243772,231353.16634163313,0.016924577858469514,-2.9700111650280907,5.89936146136064e-08,1312077.2304539012
5063475.740925385,-4147951.082425395,1193534.8982664754,2504560.645828907,1675703.104972772,5105455555.130398,-2.0675164687233103,1.074076184866483,0.002225764577110797,11625.73102802275,1214.8478850394456,3.8110597366027146,6.510508276597072e-06,70591.40912905893,118243.95582159165,0.016924577858469514,-2.9689868833563215,5.89936146136064e-08,2323901.3614117224
5145142.285421001,-4187579.155799158,1209356.5112071654,2539834.2165718884,1700435.7036426023,5105455501.957793,-2.0670741288140952,1.0745185247756983,0.007551113597127236,42098.6663537185,2396.64904509603,11.57460324018052,2.6568012202925953e-05,254064.55475971833,359863.07487922616,0.016924577858469514,-2.9687929222513985,5.89936146136064e-08,4196335.117913713
150458.0747907482,185664.41571762235,402460.2556989883,816720.3317767837,127052.22524321929,5105455273.273261,-2.0860765435776862,1.055519104242914,0.09551096124156716,19261.002299358697,46045.804291658504,2579.1737697225826,0.022404038329444872,33715.72495615773,25267.987291625042,0.01691145657506887,-1.8974375430670596,5.451909835691593e-08,0.004096814748391403
132946.3224722197,162465.48772721586,453443.75717889564,1192370.0098548885,119610.09154548497,5105453864.407049,-1.9608980894381824,1.180688880408962,0.08180795531917175,15913.173544514397,47626.945461083866,2534.600300463855,0.013103359186724079,24569.521735823146,18846.699266982516,0.01691145657506887,-1.9200475196016975,5.451909835691593e-08,0.004422623637770581
