Qi_dia_corr,Qi_no_corr,absQc,Qc_dia_corr,Ql,fr,theta0,phi0,phi0_err,Ql_err,absQc_err,fr_err,chi_square,Qi_no_corr_err,Qi_dia_corr_err,A,alpha,delay,photons
162242.435173309,164199.72839239042,1114513.5748353505,1213915.0075389615,143114.82160673474,5687792285.35061,2.7340937444629585,-0.40749869043820347,0.05166206509358561,10024.347375786287,52507.86579470803,1362.2405562920624,0.00029358279467489405,12503.005606914494,12267.944939814735,0.0095761370510789,1.2151234811175016,5.7872672981712396e-08,8.91081822343359
157920.10757350922,160563.549164229,1072928.2396481244,1208055.4717939296,139663.0019907158,5687793455.4779,2.6640888396525018,-0.4775038139372916,0.03776770469350541,7518.962769952001,38731.37690234883,981.6787945831688,0.00016935292185079768,9281.880930431344,9077.806891614344,0.0095761370510789,1.217011745852374,5.7872672981712396e-08,15.163949445910342
158811.19497281808,160917.99071650027,1149942.811557592,1270375.7109171678,141164.10098899182,5687792522.130918,2.7026443760495154,-0.43894861161980675,0.02915103289292474,5718.276585499341,34488.424214419065,858.3829467618074,9.761228425759992e-05,6998.747186829935,6869.927334879677,0.0095761370510789,1.2177796515168675,5.7872672981712396e-08,26.197084043678775
160757.8437189817,163035.94863735844,1159515.979563242,1289475.4692619084,142937.89427646252,5687792888.668515,2.6887669141574,-0.45282386664659974,0.020687366446452003,4483.509241227611,28125.682132479185,635.0710884869891,5.545942620361003e-05,5408.033835395649,5289.122368399453,0.0095761370510789,1.2173554362515846,5.7872672981712396e-08,47.056348210657745
162164.72897045568,164433.4872456328,1169825.9847755905,1299131.1318851875,144168.7843937953,5687792956.679701,2.6916464011805026,-0.4499520015358027,0.016735207422632997,3243.3073226903107,18536.62062121111,461.4355489817927,2.9544914277528008e-05,3970.6731581342974,3885.6677136585395,0.0095761370510789,1.216616321892756,5.7872672981712396e-08,84.49402878161999
162103.32190477714,164471.37979689235,1165344.7391346886,1299890.926976296,144129.5939009392,5687793075.332474,2.6825887049116206,-0.45900394867817235,0.013055406536329802,2743.5230646291966,16003.721755843893,377.6249564403367,2.0039814938040917e-05,3366.124569382915,3295.7585299004354,0.0095761370510789,1.2166624850234002,5.7872672981712396e-08,150.08453039427343
159447.66287929533,161659.75024259914,1155541.8686930975,1282748.390428694,141819.29873327303,5687792999.84964,2.692480280403524,-0.44911237318626895,0.00990793062236418,2044.2543294295447,10230.258804869702,253.33010891334652,9.607798561192575e-06,2540.9022548697885,2472.983924129474,0.0095761370510789,1.21775157679437,5.7872672981712396e-08,261.857922169269
162250.51457469017,164432.3898627189,1173656.1242887378,1298268.7174633648,144225.9457074821,5687792907.492718,2.699869432270894,-0.4417232213188993,0.007261424202602604,1616.638001962647,8639.852324055017,198.95873731088804,5.843300419356347e-06,1982.7387316933634,1937.6685789912008,0.0095761370510789,1.2177036660717289,5.7872672981712396e-08,475.8375830594984
163792.70992460317,166090.59417510396,1178037.4695060404,1308211.9181796028,145567.18854224376,5687793028.993728,2.6917283672288996,-0.44989131365427804,0.0059513952639947965,1170.0752496207303,6865.749686325771,164.06603615849747,3.780980846970396e-06,1428.6503260175123,1393.4978474206882,0.0095761370510789,1.2182250372280146,5.7872672981712396e-08,855.4318404817597
163266.3813247951,165584.44021097434,1170334.339946632,1300877.6343307418,145060.58258787316,5687793041.190125,2.689763157153418,-0.451829496436375,0.005070664203613299,1029.7581695225183,5968.439723698564,136.80455725184916,2.7524015365398964e-06,1252.2520830323506,1218.1827608074464,0.0095761370510789,1.218137558091052,5.7872672981712396e-08,1519.1438858234344
162705.93468627552,164936.8339841998,1162975.618395643,1287443.62995507,144450.42378752076,5687792813.634632,2.6982470631191893,-0.44334559047060385,0.00407687481795354,869.4132701061282,5891.376021609595,142.73561487326424,2.1966513490831758e-06,1041.9255890962888,1017.2047108938242,0.0095761370510789,1.2189697322724249,5.7872672981712396e-08,2706.7364727798945
164324.607670928,166687.50736569552,1175364.469592665,1307986.4242485617,145984.34117778053,5687793111.459042,2.687378306895277,-0.4542143466945162,0.0038418669727598837,827.1321175719945,4645.399070674451,102.63960968368099,1.471290177441095e-06,1015.6502569529446,982.9027336811347,0.0095761370510789,1.2190024933001582,5.7872672981712396e-08,4838.890826013761
