Internal Q,Qi_no_corr,absQc,Coupling Q,Loaded Q,Resonant Frequency,theta0,phi0,phi0_err,Ql_err,absQc_err,fr_err,chi_square,Qi_no_corr_err,Qi_dia_corr_err,delay,photons,power
762994.3393223938,839721.3165551658,3628432.9018322513,6416564.354506796,681908.525184767,5359738800.519971,2.1718103337828376,-0.9697823198069555,0.06994899858675585,70754.37451718682,258197.34791156402,378.4158533935056,0.0010415295444948928,98205.83161984228,84832.72409948547,6.530083286142211e-08,7.6645476450807175,-30.0
812809.8876607557,872327.3823321849,3571170.012233003,5099988.275983795,701076.0020799446,5359738516.951916,2.3465173728452884,-0.7950752807445045,0.05929165424071929,59220.1170234562,186212.6794784903,300.7529187028765,0.00068053395015826,85129.41651307758,75625.65792170906,7.664530002186524e-08,18.12583046637031,-27.5
1234640.2266065835,1434378.7341965353,3794665.3648290965,6633884.6807491975,1040914.4003427369,5359739554.772696,2.179753698763569,-0.9618389548262241,0.02484757071961758,34723.11581873756,69477.41529437278,78.59102185763435,0.00012474523492539172,60993.475068387095,48959.977677692536,5.3419546955352876e-08,172.74235502779672,-20.0
1216068.402811717,1420755.0175104684,3515688.2992647165,6025247.996069719,1011848.3026451956,5359738990.910743,2.1938191955142754,-0.9477735035418822,0.018611905957709243,30799.665831437585,51652.81890113907,69.78304395396557,8.734564899939054e-05,57193.04296008086,43993.98306172935,5.1824092461427555e-08,319.58964535155724,-17.5
1430146.0779180338,1680071.9477724598,3978282.9157814565,6786651.935201235,1181226.9976487248,5359739054.077134,2.197147230486859,-0.9444454231029341,0.0153710668353557,24617.236917059414,45131.74717357936,40.538040148981295,4.7933195110830416e-05,44788.80885708106,35611.42847782587,5.8658373766381194e-08,687.6191358156877,-15.0
1386653.3851631568,1646961.7305396693,3652767.088854549,6258489.792763595,1135146.30860035,5359739581.364355,2.194012744392955,-0.947579909196838,0.012524507491654218,17937.91194983295,31184.286960102847,35.29131410654993,3.435264738654444e-05,34737.50787398935,26490.830754580118,5.48855860913031e-08,1224.534005907729,-12.5
1445826.3261870185,1731392.1186993038,3672597.8844861845,6320683.708096581,1176668.911045885,5359739078.339079,2.1908076815066044,-0.9507849720831888,0.01212353502149044,26737.71248336546,23594.201582935642,30.731675969715393,2.2877889182599063e-05,56826.140986030056,39975.170726311655,5.689131218083557e-08,2316.761338726404,-10.0
1465868.1305355493,1755483.6003402337,3626781.652527735,6128181.371521256,1182913.7758743367,5359738792.397476,2.204111443055649,-0.9374812105341438,0.00823310130543332,19227.870854947345,21155.3721321553,21.867465696989452,1.6283342296606722e-05,40393.57768302464,29046.06910130585,6.187217288825815e-08,4294.4881882694945,-7.5
1483177.7369701357,1785146.8937361627,3584586.2305416693,6063465.473612021,1191681.751528662,5359738617.589493,2.2033147075746817,-0.9382779460151113,0.009862347857253862,16111.94203174649,17479.562975268233,24.970225821786638,1.3644365339510101e-05,35196.934867197764,25569.843688377237,5.8926886016243596e-08,7833.151769328087,-5.0
1501892.4336371408,1811504.8654275052,3571643.972505095,6017437.635475007,1201908.1449460029,5359738574.7445,2.206257738556949,-0.9353348410477998,0.013393182665732353,29176.818251381126,19798.37941530256,32.536481298019616,1.8344963279311706e-05,65564.59694933252,45804.26109795544,6.03629296973836e-08,14278.015127528908,-2.5
1552373.636942842,1880308.3149039424,3646772.89030524,6177876.851482659,1240629.0288886225,5359738259.350948,2.2022212017160165,-0.9393714518737767,0.015174478624921979,45416.83408532446,18254.926833244725,33.8863297905235,1.4891034759095596e-05,103344.57194126722,71370.37113873064,5.844415633457738e-08,26350.057120061378,0.0
1540830.6748604802,1869278.0028066128,3592540.3702583807,6085690.592740249,1229527.6462205425,5359738037.691657,2.202258784168059,-0.939333869421734,0.012812527803854544,40452.55268821239,14141.726660084645,30.650664710306934,9.437794326656782e-06,94416.56793372994,62747.097167094194,5.873231563061406e-08,46720.09258463934,2.5
1553460.9967156975,1888782.9535397915,3595717.374713027,6104031.2503061965,1238313.2968593284,5359737994.341912,2.200706990976574,-0.9408856626132192,0.00524215430633674,6095.240873828981,7086.372522887851,12.299477992345187,2.666341215145243e-06,13600.166210357465,9648.285431036053,5.896381989351927e-08,84019.73309457804,5.0
1587024.9402479802,1931614.345585473,3655089.0068683205,6204127.742672439,1263754.6536201201,5359737962.60124,2.200834404863274,-0.9408043717502649,0.007425026984413558,22501.815138138416,7802.253568890426,16.96324218052475,3.11896207420501e-06,52195.65303669439,34853.74988946864,5.867029106821406e-08,153102.32388155654,7.5
1563625.4972975974,1905821.7256441065,3590488.3434908227,6109393.555026789,1244986.2916437918,5359737939.152128,2.199009028969853,-0.9425836246199402,0.003695025732769908,4739.9658298216345,5015.241603376184,9.205570602888757,1.1524478168528332e-06,10980.864037047199,6993.61185640753,5.848334079483657e-08,268329.25124785106,10.0
1573137.6941139246,1917659.5899386015,3604582.5561034544,6126649.26816736,1251731.112767568,5359737905.226467,2.199806734574532,-0.9417859190152611,0.0036354128052617776,6860.310516469814,4357.475632910742,8.070822540847168,9.311104186098974e-07,15788.873435206135,10725.122250683951,5.96522331719953e-08,480990.01726046606,12.5
1574772.1353754865,1918781.534168147,3603615.2329018624,6110576.811526521,1252092.2810853662,5359737836.364053,2.201563584179211,-0.9400668312446913,0.0016335888508772225,2490.621762788685,2454.8488706633893,3.733535837229202,2.902097529084348e-07,5612.69426596114,4237.6733904753955,5.932297989585518e-08,858079.3835396222,15.0
47240.762588591315,49133.46249567897,137118.19499385913,154379.43653451127,36171.98247797822,5359734706.784861,2.664186023535695,-0.4774066300540979,0.07134508901515739,3869.7119426742192,13209.899804754556,6903.556562544472,0.020233500563944695,5653.757869454092,5426.490440401088,1.1647566272991572e-07,0.002834605843874528,-55.0
143184.0160127666,151994.33857356143,546403.0295539569,701595.0892315871,118915.34942966727,5359738561.281704,2.463548579676149,-0.678044073913644,0.08999656813866548,18828.807213079683,72876.99954595417,3096.527148367308,0.01447079418593849,26200.47227169246,24179.195498383473,9.186518041329332e-08,0.011987432468182778,-52.5
278746.69795783644,303467.3451623916,2154180.0202328623,5814806.131559049,265995.5618314664,5359740460.832495,1.9502894093850986,-1.1912871300533288,0.10103477746531887,43706.09164600827,263190.7821445011,1435.7099307331807,0.0026046564925345807,52959.2399879809,47081.82517633757,4.506570788793304e-08,0.040695849139888385,-45.0
404794.25257215335,426808.372562128,3132059.7275032173,5212140.590944653,375622.04540215613,5359738978.771194,2.215489297790162,-0.9261494731439855,0.09410225358634801,52095.496454814405,324902.3192045899,966.0001239516504,0.001426219775078887,63218.63433098033,58059.890477959416,2.670198317595761e-08,0.16099887393289883,-42.5
498863.92761811847,534542.1141785196,3362028.734799316,6110795.768335169,461212.18309170345,5359739308.497339,2.153380218559032,-0.9882182876863925,0.055053234415903776,39124.16891892454,217569.1803901092,466.4196234149959,0.0005576163476924336,48855.48685929146,44469.432301472116,4.5191618185220955e-08,0.3681633327392475,-40.0
512083.9077585897,542150.3653253531,3353456.1159384907,5265885.573371854,466699.4644101621,5359738045.577304,2.261171672088807,-0.8804209815009864,0.04175419750397553,27818.47935343288,151000.75357381382,364.7043079800099,0.0003061759405639304,34544.10788175529,31703.99713412646,6.412080027909959e-08,0.7779293413294053,-37.5
590531.6912072198,626274.9674380677,3213177.7868656353,4660442.653868072,524119.69689856,5359737619.310291,2.331711477354527,-0.8100563219690678,0.03397954921937113,25458.777278100788,120921.98028064409,270.78879400800145,0.00023673534326360652,32903.15534931858,30292.283768675767,7.460181322115463e-08,1.971382186862169,-35.0
646312.8562273354,693412.2097396891,3467347.508447369,5455232.837148838,577851.4647838176,5359738455.697826,2.2595821420626256,-0.8820105115271676,0.02447812012651233,21535.726510235094,89147.58512435798,152.21191685509345,0.00011684266698842157,28538.49677600836,25590.629817822126,6.681262972575519e-08,3.6404581584053903,-32.5
759624.2406536501,836453.7941229523,3464251.1961245807,5961407.46787653,673770.0129081862,5359737774.107068,2.1908919327529532,-0.9507007208368399,0.0170888772729671,16193.49292912408,57713.65428001397,93.65213742808494,6.371946207137772e-05,22744.960494573676,19613.760614774368,5.6582890788915247e-08,8.05399875288413,-30.0
