Qi_dia_corr,Qi_no_corr,absQc,Qc_dia_corr,Ql,fr,theta0,phi0,phi0_err,Ql_err,absQc_err,fr_err,chi_square,Qi_no_corr_err,Qi_dia_corr_err,A,alpha,delay,photons
360945.60742298636,361278.04935873224,45669.75310983362,45675.07101221829,40544.46102947089,4813248341.76606,-3.126332820738598,0.015259832851194834,0.012402436409728077,701.3669117652157,535.7291859701913,965.0796879117696,0.0015953548317732722,41075.172120397794,40980.469181079694,0.021208993413571846,-0.18772040570413953,5.888329069747247e-08,1.4925585812197881
464193.48708224285,465219.2634530786,45814.57157287107,45824.54392808418,41707.260423308646,4813246953.60031,-3.12072979555304,0.020862803530190595,0.008555799358891896,522.5235274908177,407.2528007106243,670.7907470945462,0.0008554963813417814,46457.890170982384,46313.30504489805,0.021208993413571846,-0.1851449129868303,5.888329069747247e-08,2.7994517108928325
562352.8765067583,562780.9730576775,44994.85559737726,44997.59430430274,41663.7967846092,4813248133.871095,-3.130559610033835,0.011033043555958372,0.006623336793521686,383.21614631217864,258.6105767052652,487.2884528403684,0.0004396303264499378,56396.563375098835,56288.66646757454,0.021208993413571846,-0.18829215274814545,5.888329069747247e-08,5.059131686958652
725952.5589834467,726724.4857253531,45413.27151801745,45416.2893321625,42742.2905814912,4813247759.626783,-3.130064546002995,0.011528102349827055,0.004749816682653725,299.5538732880857,210.12046789154786,345.5627299958244,0.0002588076017279452,63290.91155107255,63191.333743670344,0.021208993413571846,-0.18584401359289754,5.888329069747247e-08,9.381053136011419
853854.9298577235,854975.958575861,45177.61953873601,45180.753946994344,42910.20944693616,4813249301.20022,-3.129818307007752,0.011779274787425034,0.0038351607624173916,220.74640797690992,151.99094043567567,278.43217575244836,0.00015308029191541818,68510.27555214494,68335.04695403425,0.021208993413571846,-0.1883489926603466,5.888329069747247e-08,16.90110794256625
973852.4309955207,974871.6761018656,45214.07640663056,45216.271264686635,43210.01674764851,4813249628.845191,-3.1317395601490734,0.009853093440719513,0.002845610438594897,158.17087161750462,119.59157090659615,218.64774405734863,8.979579457123376e-05,58915.16474960569,58802.20756397907,0.021208993413571846,-0.18764008968662266,5.888329069747247e-08,30.452394351033405
1223260.9906396095,1225132.9700118003,44849.475804311725,44851.98848775636,43265.61495131471,4813249577.824973,-3.131007916759625,0.010585102394454808,0.002529673793091967,159.87041964638877,93.36739816183923,168.86349105411676,6.29145444341798e-05,101908.54814356132,101611.42375476961,0.021208993413571846,-0.18817289968740356,5.888329069747247e-08,54.73326936622042
1383466.638008733,1386423.9219359038,44849.17771463797,44852.27918253788,43443.8213628905,4813250909.527028,-3.129832758916636,0.011760042394331654,0.0019876293709486246,121.03700057929233,72.76258690641868,137.0158690830763,3.887114797258552e-05,104200.8105731954,103770.36953615655,0.021208993413571846,-0.1893634593024533,5.888329069747247e-08,98.13379908481748
1587622.0201124798,1591721.3715077816,45287.40326768222,45290.730535285824,44034.5395528796,4813250490.197937,-3.129471139812487,0.012121513777306006,0.0015068074334299466,95.71983464462299,59.08797835715345,103.64711561318835,2.38323195644183e-05,102456.01830662177,101886.51579234257,0.021208993413571846,-0.18823519579166406,5.888329069747247e-08,177.55166906303822
1745781.4098959893,1750768.1147845574,45025.61667734256,45028.924531996614,43896.69740245199,4813249420.452811,-3.1294708602414802,0.012121184967859182,0.0011502192325153866,66.36106080600108,45.12606889419168,82.84416460668851,1.3958127227527586e-05,86957.62243959149,86502.18902593192,0.021208993413571846,-0.1881796775446663,5.888329069747247e-08,315.5872716167112
1888107.2331859875,1895018.2664724048,44922.661019661806,44926.559286482254,43882.399718666245,4813249384.087582,-3.1284157155884165,0.013173535292597904,0.000971593242712728,59.647658402758275,39.30335591677179,68.8263031972544,1.0254117330682119e-05,89216.18649110662,88435.30496292024,0.021208993413571846,-0.18847803126309745,5.888329069747247e-08,562.1147021797399
2089649.2851208793,2097942.9541788218,45102.48584781536,45106.33457954217,44153.25995103405,4813250222.952942,-3.128529196068635,0.01306345752115831,0.0008354174632101704,55.88616017002654,32.086286642213494,57.17087900067801,7.211034853459222e-06,111611.60311397833,110695.36649011975,0.021208993413571846,-0.188811688864821,5.888329069747247e-08,1007.9412654026461
2218431.151030508,2226183.015385137,45031.02549631245,45034.208621487385,44138.20200158689,4813250646.755691,-3.129702891983449,0.011889761606344196,0.0008216731123090637,48.58455131792495,29.441277457579698,56.99098785538713,6.367456556813754e-06,111784.34266365446,111070.29272440376,0.021208993413571846,-0.1887743370462597,5.888329069747247e-08,1794.0472557032033
2375794.9494296955,2385525.0660367645,44941.87030122003,44945.338155980775,44110.84821407536,4813250210.648034,-3.129170242008475,0.012422411581318401,0.000947967837118217,61.18027466592015,27.499290737757267,58.40836420690653,6.4199756386550126e-06,156967.315122114,155697.21420352728,0.021208993413571846,-0.18845242969471332,5.888329069747247e-08,3192.6652272416313
2448000.143258544,2456846.255595926,45183.9866619456,45186.98970105544,44368.01225197024,4813251064.238011,-3.130062205224262,0.011528988131432825,0.0006543977439138971,37.727679121662895,20.857219507481915,42.91771613603881,3.3967113299589132e-06,99645.95131318434,98772.04922000619,0.021208993413571846,-0.1880210889720653,5.888329069747247e-08,5713.123294685443
2527017.337741776,2536535.197592244,45094.028767982505,45097.048423120956,44306.35894701655,4813251173.317665,-3.130020290926966,0.011572362662827192,0.0005422445863396895,32.48590707561366,20.23589926109424,37.48528616315964,2.877139697587977e-06,90436.59778087401,89643.13110340886,0.021208993413571846,-0.1875778888072117,5.888329069747247e-08,10151.519367824789
2618092.505077816,2628368.062767865,45080.30718953401,45083.34203933921,44320.15258204663,4813251223.40929,-3.12998944808786,0.01160320550193345,0.0004716652764526874,28.694584793968946,17.253083077424428,30.762954298671882,2.12897913575882e-06,79768.91764919164,79103.22309143042,0.021208993413571846,-0.18832883229634026,5.888329069747247e-08,18068.971155229683
2734934.760809083,2746790.5634432337,45024.49296151621,45027.692497253396,44298.368585264645,4813251384.791103,-3.1296714197636737,0.011921233826119551,0.00032189293915515236,24.89801217170615,10.771250031310904,20.584351859161167,9.076239397756324e-07,84580.89896636164,83844.33269755148,0.021208993413571846,-0.18871504405853406,5.888329069747247e-08,32139.77098592326
2816525.637052325,2830289.684358628,45057.41975174141,45060.925397134175,44351.35853506866,4813251298.474435,-3.129118768122647,0.012473885467146206,0.00025342053506003206,12.397903886802277,6.3216031669181865,15.76319857487499,3.6540324961514593e-07,44453.886321708735,44031.85028394001,0.021208993413571846,-0.18841909407401966,5.888329069747247e-08,57248.05926410516
