Qi_dia_corr,Qi_no_corr,absQc,Qc_dia_corr,Ql,fr,theta0,phi0,phi0_err,Ql_err,absQc_err,fr_err,chi_square,Qi_no_corr_err,Qi_dia_corr_err,A,alpha,delay,photons
692954.1109554393,906500.9847172005,388665.76855744544,447837.96054270165,272031.30487436126,5764316365.998435,2.6216861708481223,-0.5198948455350623,0.013716928632100759,5510.262116042286,5996.241040576435,221.5896078110909,0.0008082863331585935,42436.06045596634,26695.35653133181,0.010385867818628549,-2.128626623857605,6.403658988830947e-08,26.868618865379837
697015.136397122,920785.1569776091,388716.29111732234,449658.2956181877,273328.5951359026,5764316263.629938,2.614892216622344,-0.5267004369674493,0.010420064228162312,3976.2949165140135,3981.82158808299,151.434858846118,0.00041248864853068,34147.34383271671,20865.794680310708,0.010385867818628549,-2.1294085246664296,6.403658988830947e-08,48.04144043671927
729750.4742453275,985254.568731281,387947.6042565854,449983.76957203593,278347.32353393466,5764316277.898183,2.6102684446467497,-0.5313242089430434,0.007937414193665806,3119.26838763882,3051.899968434766,112.46425716813067,0.0002463992780426352,28098.385133299973,16589.203872936625,0.010385867818628549,-2.1269151653885965,6.403658988830947e-08,88.5331139543943
720888.2729404132,962312.4942717821,389877.4786282245,451081.49359456176,277463.94843800896,5764316063.765668,2.6145608032487475,-0.5270052066101575,0.006475309706005701,2350.8277159692343,2375.9992378291918,96.43854913624843,0.0001528234465381957,21363.290030741486,13106.92641572674,0.010385867818628549,-2.1271744752228456,6.403658988830947e-08,156.05821562591862
766649.0444277812,1052656.4651625997,388911.5671750512,451084.7408994816,283989.56301734014,5764316097.288891,2.610333093578215,-0.5312595600115779,0.004576489754091506,1756.6877022101658,1838.4273438111204,69.94178441800707,8.655688113637182e-05,16965.55531413096,10091.370168916294,0.010385867818628549,-2.1276370457368916,6.403658988830947e-08,290.7201539266378
775054.8454408501,1072407.5386266431,390097.07306906243,453367.8205766904,286045.62242740684,5764316331.37028,2.6069343529420372,-0.5346583006477559,0.0034886808026240237,1409.5929379452396,1399.3105745931368,49.8336493915203,5.030039412628254e-05,14345.054348685751,8315.76062415886,0.010385867818628549,-2.127093318877198,6.403658988830947e-08,521.853261772362
791451.9709582824,1092087.8419044288,390361.8346534431,451691.0644438211,287570.91745494393,5764316277.951656,2.614400369314338,-0.5271922842754553,0.0027101548738878768,1107.922483774312,1036.5715624432667,37.792273646039604,2.9032812835954892e-05,12531.338308710965,7015.431853665665,0.010385867818628549,-2.1270096301602,6.403658988830947e-08,941.4059019702557
787083.297202746,1091022.0417464855,389737.3551464423,452102.3086100731,287158.093238488,5764316246.311219,2.61010816663426,-0.5314844869555332,0.0020815952724085123,898.7972565980757,889.6667169841234,32.71084065999481,1.9020070942976463e-05,9728.650655187821,5564.35771175719,0.010385867818628549,-2.1269336650741915,6.403658988830947e-08,1667.7612997541498
800265.8813853323,1115581.1035911732,391173.7227303889,453881.5392035724,289619.78795500746,5764316097.198253,2.6096847794964795,-0.5319078740933136,0.0016694727258320125,711.4585453507041,716.665245736354,23.819996683952517,1.207318523915241e-05,7367.0618332754275,4140.170837815408,0.010385867818628549,-2.1267776296487737,6.403658988830947e-08,3004.986053426109
813621.0972170405,1138745.2741161326,391770.45010244864,454214.84747531015,291487.8570230225,5764316105.458667,2.6110296829714876,-0.5305629706183054,0.0012832990711652502,557.355560868206,565.7609029887499,19.082487147496586,7.469284811540485e-06,5726.44404245447,3253.7675061055534,0.010385867818628549,-2.1256318903464773,6.403658988830947e-08,5408.889688125758
