power,Qi_dia_corr,Qi_no_corr,absQc,Qc_dia_corr,Ql,fr,theta0,phi0,phi0_err,Ql_err,absQc_err,fr_err,chi_square,Qi_no_corr_err,Qi_dia_corr_err,delay,photons_num
-35.0,356643.90611424594,390272.7126111042,275549.350413776,295202.29262285173,161513.71126942296,4389775707.089669,2.7746414692046995,-0.3669511843850936,0.03248906483519796,7714.208515128099,7200.853210804237,515.5408240532292,0.0038641248186170435,37704.64430131354,32499.940520610464,8.836357159691959e-08,440.59391910213463
-32.5,475284.76514352346,554229.4692346348,278162.8387264324,303460.5253607796,185208.3939191815,4389778262.836037,2.730378036699771,-0.4112146168900217,0.023787503201000298,6626.337375082413,5720.63061809922,328.48023393168177,0.002500681226847358,45904.222348985095,35080.01524454597,7.64660321258778e-08,1002.2084317576054
-30.0,607874.7328751062,797811.9137655196,269364.9001203718,301133.2857121572,201374.80843851098,4389774755.7040825,2.678101055446414,-0.46347604091443256,0.034478271102187236,9279.197749331473,5740.7449379295485,408.6477555014746,0.003574204007725978,125081.42618387422,75338.77254757388,5.96311299523672e-08,2123.2011363466427
-27.5,750965.3045850222,1031398.2494245938,249844.64727961246,274693.1766852483,201124.4959836751,4389775055.545476,2.712974141286555,-0.42861851230323805,0.02910409413358104,8985.457273068196,4177.197694913698,347.3399761808063,0.002909100783542901,213592.81056933632,112188.26553933433,8.759294022448242e-08,4128.778900018472
-25.0,1090970.160101012,1659217.1121074033,282602.9020144037,310114.770989189,241474.27029459857,4389777683.294902,2.7173045887027123,-0.4244026250878989,0.016562722271116354,4746.782570235469,2725.6592279162433,171.00904672886935,0.0009521095911164364,198521.11439192088,86849.56924217394,6.438856003793286e-08,9374.720169810744
-22.5,1345886.8325757794,2358143.385667174,290838.56185464084,320575.34236727585,258906.64584411122,4389773153.832484,2.7074698177076275,-0.4341228358821658,0.018410492377159304,7405.482712880234,2741.890066007286,165.17319331254052,0.0009664713774769652,560677.1947786341,179559.7731768313,6.190129252229114e-08,18539.423244334586
-20.0,1639065.3595211036,3485891.3081037346,290125.5737608121,320148.52433444525,267834.1351408457,4389776672.158064,2.705042908164512,-0.43653571820900067,0.015742999002478067,8184.5801448612865,2232.5396636508503,137.58661882823338,0.0006893741050198241,1298910.2276001365,303499.96723826433,5.3071061340721765e-08,35328.043759450135
-17.5,1746228.9238404953,4451656.361461275,261241.82308145208,287369.21288775775,246760.8630745593,4389773945.100546,2.7118699933680017,-0.4297240220966785,0.009975513876133739,4739.62599139987,1320.0609404716927,97.80124607860174,0.00033552923025239906,1500997.4059028034,237821.15473280477,6.226631926244807e-08,59408.980998351966
-15.0,1985203.3768346985,7658304.3941961,257322.3764302414,284654.85639686853,248957.3022130714,4389774623.847082,2.699765993916763,-0.44180755000188604,0.0069869114428397425,2040.6091823077488,976.8840753819823,68.92524874462066,0.00018468273957930565,1703740.6280781883,124612.46862472521,6.03297582604892e-08,108560.23807351029
-12.5,2296074.7773299133,11431009.664704556,274704.5926069567,303745.5315831857,268257.9451371349,4389773946.404088,2.7007454132904054,-0.4408470094771184,0.006960335024394529,3084.797658818382,953.2228424712569,63.717740415810155,0.0001573203177836607,5447382.685538652,222467.66737394274,5.5146007269648884e-08,210055.98962843622
-10.0,2611164.5688241036,20892696.661204275,273063.3295470516,300566.85141960235,269540.4897352091,4389774148.956979,2.7104635830186994,-0.4311290705710939,0.008315013709472777,3965.8960905985173,888.8999745829652,71.28544574187052,0.0001484492808471621,23354614.95891546,405149.5564293209,5.888191584610754e-08,381106.7883347351
-7.5,2718058.6791077866,38145059.47498327,266485.6340515524,293181.74438364693,264636.8515317585,4389774310.349271,2.7115256924953783,-0.43005342579841227,0.010284824713464624,4341.201039508895,795.8410450864403,89.98429904205885,0.0001332549995587465,90004157.52581236,461633.2855039875,5.943235539913644e-08,669735.663441689
-5.0,2922058.977942598,397094839.755784,264150.6938043263,290190.54013274465,263975.09543933556,4389773613.205413,2.7147043549329375,-0.4268693141980172,0.007420160540551268,2996.608355415242,595.361614569785,63.46989313489685,7.748971658428811e-05,6603294539.853218,384908.460404053,6.309851241884366e-08,1197243.5514551708
-2.5,3090487.1063712416,-70983803.57555611,266153.2221408977,292434.177946231,267154.9174362302,4389773285.834062,2.714394902039903,-0.42719775154989004,0.005490494703844589,2452.664812141542,511.7956430063138,47.380424620830844,5.5235123126063865e-05,169701962.2863706,351438.67851766525,6.098658555259909e-08,2163904.6844563354
0.0,3256312.954344589,-38302245.03391617,271439.90657657,298431.49577128293,273377.27347257955,4389773207.48559,2.7130087298564076,-0.42858392373338533,0.007893004098431083,1655.7477858415587,511.78203615640604,66.44256561920224,5.434043746877076e-05,31112512.925061747,295726.8440723889,5.854491655008559e-08,3948390.3917039195
2.5,3353043.3568389164,-29937668.124710195,270011.66049329285,296568.3045079318,272469.09412612056,4389772463.381113,2.7151612570238495,-0.4264170661980416,0.007056797045519134,1847.5071512819918,486.4566882882022,59.453725861635576,5.040239995139777e-05,22016851.7524265,289706.71200411353,6.09856777686883e-08,7018589.383984491
5.0,3427961.63837699,-24193691.047035687,269028.9957613546,295506.54412659095,272054.1837621401,4389772186.813952,2.715044643301859,-0.42654780017487287,0.010408289235271541,6684.4119072024805,613.8345347892941,87.17045655309576,7.82360415715835e-05,53684337.927999586,1093612.1780796854,5.918379300424812e-08,12487739.875433173
7.5,3512182.2357276315,-22289190.164789297,270151.66765370837,296556.71101086686,273466.15949882567,4389771528.434938,2.716404736652118,-0.4251879169376755,0.018778479558808632,9908.47153344588,681.6718121881695,153.60397976949142,0.00010040172377164212,65930214.70077356,1756491.727160332,5.929145872418094e-08,22358346.654058743
10.0,3574419.092164899,-21229329.206714865,269261.681701015,295247.4972508836,272720.72844053217,4389770687.173903,2.7188967260105468,-0.4226959275792463,0.035346830034745,11589.20696285353,1082.7727154295985,286.28730754574474,0.00025476264400266365,70339767.18251564,1966684.2121181437,6.039220764422336e-08,39718285.82402979
12.5,3615364.96343701,-23311323.254995886,272022.3720573969,297914.0031627094,275234.1088750939,4389769008.781132,2.721595869054467,-0.41999678453532635,0.07462256248258414,20247.908831505,1947.8031985057596,601.9790523068765,0.000727618187191401,146638502.72756866,3701896.7151901703,5.8684187491811617e-08,71294224.15381984
15.0,3657803.352215423,-25579644.506868873,272868.6378481258,298303.96007473196,275810.82589714706,4389767867.871265,2.7256441853836972,-0.41594835581611594,0.09863816203309497,21706.65746707525,2592.3757080447917,784.9788029194668,0.0011975644145968258,187268871.47613877,4016168.9695828026,5.956958250024766e-08,127146550.36456777
