Qi_dia_corr,Qi_no_corr,absQc,Qc_dia_corr,Ql,fr,theta0,phi0,phi0_err,Ql_err,absQc_err,fr_err,chi_square,Qi_no_corr_err,Qi_dia_corr_err,A,alpha,delay,photons
585560.0150637934,755443.1783491586,274105.3406229272,306354.5402288235,201127.9759106498,4389774749.517469,2.6786125510459633,-0.4629646189791611,0.03320028335612951,9759.80344182751,6484.064302722538,405.2682572624296,0.003849208056022201,115610.28608244959,73057.86943048405,0.018457650178470498,-2.0354342595985924,6.016858774296968e-08,20.819019234018477
1078138.3890060645,1633250.2144655806,285496.4936483728,313733.2332747557,243016.5521632174,4389777709.784522,2.7140557882080403,-0.4275180202317977,0.016076064151569928,4780.434400950469,2751.1656299123897,166.792890189234,0.0009340199327033515,190735.78266509518,85399.81958388045,0.018457650178470498,-2.0121131760790334,6.016858774296968e-08,93.85344538150552
1309999.9196185174,2244536.60104978,293534.7678556685,323737.86188596615,259586.68389093777,4389773163.69681,2.7061975709795267,-0.4353912595820929,0.017035664804648108,6405.834475264583,2884.2123983471665,158.30750715631885,0.0009890094469056272,428288.1924456636,146264.71139101204,0.018457650178470498,-2.0240965567266502,6.016858774296968e-08,184.54881553740393
1606705.1296661648,3287127.4685334223,288630.6387202967,317817.39373704785,265332.74129287,4389776639.64545,2.709673895726491,-0.43191681335847143,0.015507783738932319,7819.398543527229,2320.4461059778496,137.86824897256375,0.0007329759416489332,1117358.8716822069,284332.41781623085,0.018457650178470498,-2.0160486716061725,6.016858774296968e-08,349.2555156410188
1707896.9295671824,4211845.638481788,262845.1119747459,289315.67600504984,247405.4856984567,4389773956.239297,2.7104918156907254,-0.4311008378990676,0.009254518870445629,4294.5268645620035,1391.897691493694,92.86308152689884,0.0003455191726142344,1199077.485132214,200597.07072431283,0.018457650178470498,-2.0132651203477328,6.016858774296968e-08,593.1799494010017
1894966.4394144577,6368711.515776796,259143.34990683923,286683.1209809127,249011.0707362977,4389774624.775241,2.6996642839179117,-0.4419098222059248,0.006256092309528871,2106.5893489084915,1233.3587527690631,65.31107301024262,0.00022966611302059988,1111245.9164769908,108909.52155137227,0.018457650178470498,-2.0226022979060665,6.016858774296968e-08,1078.3874718253635
2222986.3430905533,9444838.636552703,274255.1972824552,302821.8488525116,266516.213121752,4389773922.804857,2.703746078372526,-0.4378504345894575,0.00630222212348829,2812.5945793377296,1085.150400788992,60.62261398549797,0.0001759642668777047,3469321.5263509424,199003.01412529973,0.018457650178470498,-2.0212794458235157,6.016858774296968e-08,2079.6959495700653
2575905.3604923,18388993.53466577,273113.2301440691,300512.1612419486,269116.3161075264,4389774142.722053,2.7112572593916924,-0.43033539419810085,0.0078095358210157045,4440.672808794941,915.4808206664155,66.52658301127268,0.00015400453276723767,20283228.50289648,427684.5416932615,0.018457650178470498,-2.016875589502742,6.016858774296968e-08,3799.77383521271
2692402.284959337,32792068.763738245,266551.443925523,293194.88711780397,264402.2413329021,4389774306.999474,2.7119641824233205,-0.4296125686600098,0.009405602271467722,4513.578350206393,803.472121814273,82.60511870525902,0.00013406481442197545,69265551.02439745,483631.46352615306,0.018457650178470498,-2.0153397266656867,6.016858774296968e-08,6685.187324459796
2892924.498751109,219620669.71418038,265236.52779207507,291621.5290039045,264916.5872516487,4389773626.924691,2.7129294683673386,-0.42866097100905765,0.0061371411166680654,2589.35382595742,602.8846089613057,53.373117161011436,7.453757796312711e-05,1721635526.556431,320145.0565255312,0.018457650178470498,-2.0158778474447874,6.016858774296968e-08,11998.820715064956
3080122.6044583065,-74786873.62649053,266468.8459313301,292847.1908571184,267421.68087715557,4389773289.602099,2.713898425968744,-0.4276942276210491,0.005183247480928859,2085.435463869744,516.5779954876723,46.008521218933666,5.473566754650171e-05,162871970.44284666,296911.2707883359,0.018457650178470498,-2.01553991043498,6.016858774296968e-08,21651.70375646187
3274132.663192858,-36987551.30682454,270840.6777536181,297641.455285405,272838.5329936232,4389773200.246146,2.713974679112812,-0.42761797447698097,0.007959690272389104,1767.9299460295897,510.12885720552504,66.393471169155,5.446777413154152e-05,31156027.822701253,320765.343363709,0.018457650178470498,-2.0161188344935677,6.016858774296968e-08,39432.82760865117
3377547.178829809,-27587645.966125198,270068.6076520923,296697.0025777402,272738.5754856973,4389772467.708833,2.714685078048206,-0.42690757554158704,0.006015024737866346,2011.9380059503562,479.1355975753143,50.228779820549335,5.002442874649406e-05,19963011.075713225,314463.6953551784,0.018457650178470498,-2.01567326009376,6.016858774296968e-08,70294.29016866948
3474866.84628596,-22182837.38034918,268449.53386899456,294790.9641979624,271738.01962270704,4389772182.425867,2.7156352389606186,-0.42595706417761403,0.007497266231173756,3724.5702991268363,602.1382020417635,63.65152210760658,7.992270630618167e-05,24372418.175593834,655668.432411286,0.018457650178470498,-2.0155668552105435,6.016858774296968e-08,124889.7435447006
80403.62047363265,83150.66415339005,167303.89261415982,179653.8913136145,55544.726220438526,4389771519.216142,2.7686493890747546,-0.3729494788373421,0.06765476390178661,4882.35875051525,11425.356224304875,3554.438689976106,0.015886235924241737,8798.145329716002,8424.076460728545,0.018263875253960078,0.5410624616702705,5.821209051836379e-08,0.008562277381915515
77664.61458752544,80335.69974681656,243278.68059892434,271561.9007271265,60392.75207274976,4389776454.870203,2.681136335361381,-0.4604563182284124,0.048712436022755136,4314.378240461619,12910.658774345608,2275.609237164059,0.00468881055955525,6521.909982266932,6211.624194882886,0.018263875253960078,0.5588972004154306,5.821209051836379e-08,0.02117581263264928
