Internal Q,Qi_no_corr,absQc,Coupling Q,Loaded Q,Resonant Frequency,theta0,phi0,phi0_err,Ql_err,absQc_err,fr_err,chi_square,Qi_no_corr_err,Qi_dia_corr_err,delay,photons,power
884873.431075886,1009060.7516933841,401679.77729418856,425448.49466282903,287309.60065873,5190999727.913679,2.805748869253338,-0.3358437877482615,0.021265863964161826,9188.985979829,8104.252225250907,244.19009941288604,0.0023880381751450706,88471.58682269213,70601.14169618326,5.280167284695526e-08,6.917917315857616,-35.0
1179591.0203157766,1442167.131002096,394863.8121333693,420491.7067193307,309989.123051445,5190999029.577591,2.790660165560313,-0.35093248802948035,0.015755212815922074,6765.614617930431,5778.402899107646,174.4276290883874,0.001436823180018733,113080.21922415224,79256.96070733244,5.078304566281885e-08,14.489642637368528,-32.5
1517596.5773275457,1973973.600691044,403590.5069883267,430030.8216409819,335081.18822590675,5190999354.448521,2.789100675766846,-0.35249197782294717,0.012388030843110633,6058.730162425511,4340.6542772272505,122.05273328411288,0.0008497193767007197,181357.8188064049,108078.24090454436,4.585717593358255e-08,29.438972881775314,-30.0
1628369.4477310693,2147472.9412896656,399729.5051972181,424945.29262535216,337000.42076751863,5190999498.818331,2.7953695439416864,-0.346223109648107,0.011527552464783026,5433.531986775808,4308.482475535553,117.6790374196648,0.0008233185060507078,171918.1310717915,103846.95487060877,2.739753361736148e-08,53.58583262219576,-27.5
1922051.956002095,2596783.628693671,389101.3252486355,410704.75212431396,338396.14281675743,5190998841.728348,2.8158056349005203,-0.3257870186892727,0.008170286321896212,4307.759860519584,2707.9560666835164,76.65039318292827,0.00039380052563933526,209826.07109356718,116272.17706757471,7.253567422227603e-08,99.4130297844567,-25.0
2299436.7241164735,3407329.5807251907,379650.4769872574,401187.9101279674,341589.94260891754,5190998522.048468,2.8124301473951836,-0.3291549229220624,0.005829905527563746,2641.8385937693934,1784.1148866242233,55.87284740156581,0.00020132039626849914,216040.21209096356,102038.03755219508,6.666843469025797e-08,184.4100547289078,-22.5
2660129.4315390126,4195430.466113525,380983.38952980976,402055.41096447775,349266.77742344723,5190998999.461712,2.8164002115553934,-0.32519244203439945,0.005005088190378511,2437.345967986165,1426.5240239318432,45.73484104905491,0.00013691106162374463,301870.61642049596,123842.78485035291,6.594628806140735e-08,342.0982448963959,-20.0
3016725.649155241,5193551.023403706,392953.8036210548,415646.66000489605,365313.4996096304,5190998839.652414,2.8096267403511157,-0.33196586343060347,0.004253396141885826,2590.7904177031032,1317.2237805798534,35.31051975087405,0.0001031066316080403,436547.97029653715,148243.01767537385,6.364785754450269e-08,643.7679882599484,-17.5
3374474.366568835,6399315.660029743,392948.6813017311,415837.44613408594,370215.66350718203,5190998984.395456,2.8082607757925686,-0.3333318777972244,0.004184451759685987,2549.1850958601367,1109.2179304850147,33.68981085516091,8.11017390722097e-05,691992.1893782198,203481.5305890807,5.510494692249213e-08,1175.1902769952758,-15.0
3688524.230019819,7776716.227264478,384782.92553724255,407108.8106196186,366641.90793581656,5190998585.77793,2.808880182119961,-0.33271247146983174,0.0031347900249107503,2056.8418172547927,810.5406968264537,25.211105200046678,4.785582314187689e-05,832685.203417768,193492.34300734196,5.867837486437047e-08,2093.610941998437,-12.5
