Internal Q,Qi_no_corr,absQc,Coupling Q,Loaded Q,Resonant Frequency,theta0,phi0,phi0_err,Ql_err,absQc_err,fr_err,chi_square,Qi_no_corr_err,Qi_dia_corr_err,delay,photons,power
418402.21381739824,531309.5830132324,662171.9604868632,997726.3147661663,294783.19972804986,4897824313.18221,2.296540755373173,-0.8450672738476368,0.03292695050483297,12461.667247558686,18628.812201529956,362.54447062957297,0.0015049966200445652,35132.544883871175,24949.823699636665,5.2653094142506833e-08,19.616057164360495,-27.5
760120.4407604481,1228691.6270132747,713820.9844336957,1112094.2785910896,451511.02834114,4897821410.050212,2.2677319819587787,-0.8738606716310147,0.02155286462412942,15795.843582494064,12881.775572711373,140.52350142988232,0.0008875480309819443,99892.5007063102,41103.0305219171,6.799911457796147e-08,73.41982104800304,-25.0
1210368.0960453008,2215076.3495149426,990557.7865780783,1575326.646377893,684470.2273326743,4897822932.474776,2.2507855012323303,-0.8907935668117148,0.017409030982474403,17747.859866392722,15457.366239518411,77.15075952907651,0.0004859859469971214,147464.96563486112,51004.79857867128,5.5662534334512545e-08,211.81486642151606,-22.5
1303772.0904824533,2675078.5555970557,843659.1883083024,1262421.6993225513,641381.8724583697,4897823344.727955,2.302699132474128,-0.838893521115665,0.014094176148479173,15454.910747907708,12474.506401796338,68.5521489096836,0.000493104017422128,203110.0938319994,58026.50620957642,5.76209901663641e-08,412.7116908515907,-20.0
1467200.9416469748,4014052.149096143,809803.2052573415,1246225.7507939285,673857.7460608447,4897823110.442571,2.2781236428895997,-0.8634690107001933,0.017490520992347987,14889.832199820097,10896.856007925951,75.63239631906956,0.0006124406966223887,393027.1026132223,67481.03437331249,6.173873952793679e-08,820.6493511272964,-17.5
1437261.7110760938,4316285.6741546765,748537.9937330174,1146985.3681506086,637910.425074634,4897823804.201215,2.2818247938468206,-0.8597678597429724,0.02797563763497082,18187.245337067492,10291.210901691582,125.32473864185998,0.0008914456312632698,709036.719148087,85413.95551278935,6.105018509946158e-08,1420.9516475451044,-15.0
1836386.2225207223,11207592.534976192,786561.6868543755,1225439.7788493528,734979.9516369691,4897824977.216321,2.2677187022409107,-0.8738739513488823,0.022153043576294915,15100.883280528367,7980.951563818751,82.5523693235787,0.0005314592355023607,2978244.70932829,97436.59359399886,6.055161116295585e-08,3139.616350017105,-12.5
2160207.014840672,33040428.178436078,831682.5645890345,1299158.2311263597,811261.7560516207,4897825005.497209,2.2655162996007867,-0.8760763539890063,0.016103709388285963,16753.538025347923,6707.033766969397,49.24020158109524,0.0002849292151350477,23332445.671353463,108488.63764165192,5.9596010396400814e-08,6416.194527312515,-10.0
2681281.323691983,-14967409.208043044,829955.2133421729,1306990.5954077616,878678.6720648003,4897824166.8863945,2.2588208772434593,-0.8827717763463339,0.015057233110177513,15433.316177847997,5916.8992458236435,38.87689500970173,0.00021371949836528767,3468466.759973065,116845.57014180276,5.7735168997432774e-08,13304.710264890757,-7.5
3324195.048805386,-7996111.073138788,853322.6323376354,1340475.0354376014,955265.9449381075,4897824349.369263,2.2610169182158373,-0.8807378727486458,0.007057887681866195,10412.073656236493,4601.529044791407,20.505556766926485,0.0001252343828125021,565540.7652890655,125878.9544424482,5.985061092503744e-08,27265.12809277813,-5.0
3799547.285846935,-6737250.400677071,881775.3596701085,1384163.6301773537,1014561.8166998421,4897824222.564708,2.2614557311527355,-0.8801369224370575,0.01172004935142971,13007.451959736156,4595.018099116942,31.024912780917468,0.00015382288258252192,546465.2419491594,186151.8085986053,6.091812367695428e-08,52964.79521062052,-2.5
3931559.950113106,-5259068.542198464,807287.0555470728,1259101.6570471963,953680.671677607,4897824174.447398,2.266806710387585,-0.8747859432022078,0.004671933927995336,5561.996089055571,2162.2175291385342,14.977217929412735,3.981678405087282e-05,161897.30375266608,96367.45335587283,6.005595852499687e-08,91487.73565314637,0.0
4355540.758010325,-5057772.162654922,835000.4372146075,1298202.1869918772,1000111.3585433905,4897824207.595969,2.2694825483750316,-0.8721293957325946,0.005279392754013806,7287.486215326039,2034.654290759643,13.52640320056731,3.540965805684211e-05,166699.51619003163,171945.28359977785,6.050421323310156e-08,173529.01025581238,2.5
4521945.979482539,-4914038.850914551,839812.8389884465,1305314.0263067961,1012921.9405614366,4897824208.248536,2.269701490032366,-0.8718911635574268,0.008921693839940225,29455.092801754225,2609.5577499946176,26.0131708753027,5.67440947941243e-05,705331.6366940592,540864.4750375949,6.028087667739963e-08,314814.4501873703,5.0
4689048.010612763,-4646626.506288312,832543.1810103355,1294220.1038407106,1014271.813851961,4897823696.499226,2.269568219516793,-0.872024435062646,0.015496059536971698,34551.37269414228,2679.554204785609,38.678124288027554,7.025453758285864e-05,714511.9572383348,734560.4862159154,5.991591690559768e-08,1006742.4221684755,10.0
4722505.548981269,-4508369.090073969,820040.3891919381,1272442.014018919,1002363.1414307099,4897823279.702835,2.2711146709835655,-0.8704769946514638,0.04141635133096831,31680.73502705842,3742.23467421962,100.22186646744208,0.0001368059552369606,671058.0494770793,390961.9453161304,5.979474836912914e-08,3162496.45963924,15.0
56714.429671115264,57362.77167054423,246244.77893912076,258952.49769953385,46524.80809842797,4897813749.105566,2.827012751910266,-0.3145799016795271,0.0598113832467631,4164.406344053106,17252.749228848083,4068.6755467643334,0.005516643377520888,5574.83679258667,5486.602833524633,9.1591955262712e-08,0.005953449006507048,-52.5
97266.22712801292,104782.74602917727,547520.739560648,918349.5955770011,87950.97353682693,4897830826.321052,2.2095568127104213,-0.9320358408793717,0.06078709640866501,7872.217631677276,39196.68359438795,2457.0734415615484,0.0027626159725099657,10091.179985231965,9087.054236238086,5.4571996289718493e-08,0.01066816676613012,-50.0
107183.66344976341,114153.79054532849,614535.9656328335,945558.3967976638,96270.88799951492,4897827907.526759,2.278263956077053,-0.8633190328626696,0.049869616560354234,7327.019362893905,35229.076267220444,1737.0079996841698,0.001617206541250006,9382.650617567568,8578.425303609676,6.669051713344901e-08,0.022075911810529036,-47.5
99136.96153357983,102359.47315282731,579990.3047720464,710932.6222064946,87004.50113834541,4897822105.518023,2.524909743996954,-0.6166572936596517,0.04008466818910952,5047.371188239164,25357.489018934837,1549.5229711529946,0.0009859365422637094,6390.4760556187875,6114.469006322121,8.172101329610643e-08,0.04264548707320478,-45.0
88643.73272153885,90976.27059843962,529696.317431199,625532.4649636627,77641.24989408514,4897818145.467341,2.58072270914957,-0.5608699444402232,0.03536188706787149,3816.1506587877197,19963.21582984326,1567.8203865283565,0.0007608911967438842,4774.328611008178,4619.597550616214,9.002412512031123e-08,0.06863631580273948,-42.5
143380.3175661647,153923.93977030978,850581.0852337405,1432820.5743364324,130337.61750744362,4897827761.454957,2.2063721967409284,-0.9352204568488647,0.028238352860485972,5369.837430401281,24011.482374767344,686.5640350873807,0.00033439814073211066,6926.4247888875,6295.848086975168,5.1770518641932594e-08,0.1501636526143387,-40.0
153929.08196705946,165135.2772696415,833639.4273224537,1318039.712596674,137832.16309029466,4897826779.535448,2.255552671925973,-0.8860399816638204,0.0208689357493385,4034.037705219626,17094.11600269233,488.4477110662153,0.00020243454996563047,5326.570504089383,4771.22920598511,5.979328064740573e-08,0.32463093200757515,-37.5
207634.60548666638,226104.19903931627,804876.6107099624,1177837.9602726446,176517.33152464038,4897824264.159923,2.3231388459644657,-0.8184538076253276,0.014944445598584495,3599.237031747848,11547.76462184195,276.5885942774788,0.00014279988054390866,5272.471400611379,4695.9750372355265,6.245550781989255e-08,1.0595143828335771,-35.0
312210.926412892,356394.5101329935,880385.3959916165,1353578.006371739,253694.71187144332,4897825204.9909,2.2789250039698907,-0.8626676496199025,0.014657842179422575,5963.382404342507,14537.281540986341,193.76793667356475,0.0001996084054739564,10137.541731622205,8226.458577817177,5.770230402343159e-08,3.3865467099220483,-32.5
428166.14006604307,521580.2127413007,871990.9810305747,1372665.6856169598,326365.27177589934,4897826543.411925,2.259133324195463,-0.8824593293943298,0.013129538683205289,7073.052600444373,14727.845825798122,153.27072361280813,0.00023895347406914267,14286.541883223204,10797.06324225019,5.673437579150809e-08,9.82789243806785,-30.0
